STUDENTID,COURSENAMEENG,SUBGROUP,MAINGROUP
6310210,Thai Language Skills,Language Course,General Education Course 
6310210,Information Technology Workshop 1,Major Required Course,Specific Required Course
6310210,Computer Programming,Core Course,Specific Required Course
6310210,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310210,Mathematics for Information Technology 1,Core Course,Specific Required Course
6310210,Intensive English,Major Elective Course,Major Elective Course
6310210,Human and Computer Interaction,Core Course,Specific Required Course
6310210,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6310210,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6310210,Object-Oriented Programming,Core Course,Specific Required Course
6310210,Mathematics for Information Technology 2,Core Course,Specific Required Course
6310210,ASEAN Studies,Social Science Course,General Education Course 
6310210,Science for Life,Science and Mathematics Course,General Education Course 
6310210,Information Technology Workshop 2,Major Required Course,Specific Required Course
6310210,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6310210,Probability and Statistics,Core Course,Specific Required Course
6310210,Data Communications and Networks,Major Required Course,Specific Required Course
6310210,Industrial Management,Major Required Course,Specific Required Course
6310210,Organization and Management,Social Science Course,General Education Course 
6310210,Database Systems,Major Required Course,Specific Required Course
6310210,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310210,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6310210,Introduction to Economics,Social Science Course,General Education Course 
6310210,Information Technology Project Management,Major Required Course,Specific Required Course
6310210,Seminar,Major Required Course,Specific Required Course
6310210,Web Programming,Core Course,Specific Required Course
6310210,System Analysis and Design,Major Required Course,Specific Required Course
6310210,Basic Technology of Food Products,Major Elective Course,Major Elective Course
6310210,Information Technology Service Management,Major Required Course,Specific Required Course
6310210,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6310210,Business Information System Design,Major Required Course,Specific Required Course
6310210,Senior Project 1,Major Required Course,Specific Required Course
6310210,Information Security,Core Course,Specific Required Course
6310210,Business Modeling and Simulation,Major Required Course,Specific Required Course
6310210,Digital Marketing,Major Required Course,Specific Required Course
